medicines,Disease,symptoms
Doshavaishamyam,SARVANGAKUPITAVATAH,"flickering/twitching in various parts of body, bursting type of pain in joints, feeling as if limbs are being broken, severe pain, pricking pain, breaking type of pain, pulsating sensation, stiffening of body, convulsion, contraction of joint, trembling of joint"
Doshavaishamyam,GUDASTHITAVATAH,"retention of feces, obstruction/retention in the passage of urine, retention of flatus, sharp pain in anus, abdominal distension, urolithiasis, mutiple gravely particles in urine, pain in calf muscles, wasting of calf region, pain in thighs, wasting of thighs, pain in sacral iliac region of back, wasting of sacroiliac region of back, pain in legs/feet, wasting of legs, pain in back, wasting of back"
Doshavaishamyam,AMASAYAGATAVATAH,"pain in the pericordial region/angina pectoris, pain in the umbilical region, pain in sides of chest/flanks, pain in the abdomen, thirst, eructation, loose motions and vomitings caused by ama, cough, dryness in the throat, dryness in mouth, breathlessness/difficult breathing, vomiting, choking sensation of throat/obstruction of throat, diseases of above nabhi/umbilicus"
Doshavaishamyam,PAKVASAYAGATAVATAH,"barborygmus/gurgling sound of intestines, colicky pain in the abdomen, gurgling sound of the intestines/barborygmus, dysuria, diffuculty in passing stool, barborygmus with distention, pain in the sacroiliac region, constipation, urolithiasis, herniation, haemorrhoids, stiffness of sacroiliac region, stiffness of back, stiffness of low back"
Doshavaishamyam,SROTRADINDRIYAGATAVATAH,impairment of the functions of sense organs
Doshavaishamyam,TVAK^-GATAVATAH,"dryness of skin, cracking of skin, numbness in skin, thining of skin/skin atrophy, blackening of skin, pricking pain in skin, stretching and redness of skin, pain in small joints, skin irritation as if application of mustard paste, cracking of skin, discolouration, scaling of skin"
Doshavaishamyam,ASRUGGATAVATAH/RAKTAGATAVATA,"acute pain, with burning sensation, discolouration, emaciation, tastelessness, appearance of rash/scabs on the body, stiffness of the body after taking food, sleepiness/numbness, redness/congestion, indigestion of food, giddiness or dizziness, wound/ulcer/sore"
Doshavaishamyam,MAMSAGATAVATAKOPA,"heavyness of the body, excessive pain in the body as if beaten by a stick or with fist-cuffs, pain and excessive fatigue, glandular swelling which is hard/firm/rough, pricking pain, exhaustion/fatigue, severe pain, stiffness, glandular swelling with pain"
Doshavaishamyam,MEDOGATAVATAH,"heavyness of the body, excessive pain in the body as if beaten by a stick or with fist-cuffs, pain and excessive fatigue, glandular swelling which is hard/firm/rough, pricking pain, exhaustion/fatigue, severe pain, stiffness, mild pain, glandular swelling without ulcer"
Doshavaishamyam,ASTHIGATAVATAH,"cracking type of pain in the bones and small joints, pain in the joints, extreme wasting of muscles/diminution of muscle mass, loss of physical strength or weakness, insomnia/sleeplessness, constant pain, pain in thighs, pain in joints, pain in the bones, severe loss of physical strength, diminution of asthi/osteoenia/osteoporosis"
